experiment,feature_set,model,n_samples,n_features,effective_n_features,n_cv_fits,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,pooled_accuracy,pooled_balanced_accuracy,pooled_roc_auc,pooled_pr_auc,pooled_f1,pooled_precision,pooled_recall_sensitivity,pooled_specificity,pooled_tp,pooled_fp,pooled_tn,pooled_fn
ridge_alpha10_t1_only,t1_only,ridge_classifier_alpha10,301,2000,2000,15,0.7276684881602914,0.03022686210788688,0.629847053531264,0.04399578760523859,0.8330429804114015,0.04889720337181562,0.7990640193297031,0.058914937320550906,0.4082821585780429,0.11520715668024903,0.9712820512820514,0.0760092236843292,0.2666666666666666,0.09544939173883539,0.9930274403958614,0.020977709879492473,0.7275747508305648,0.6298429319371728,0.8323602517319794,0.7876136284494744,0.41706161137440756,0.9565217391304348,0.26666666666666666,0.9930191972076788,88,4,569,242
ridge_t1_only,t1_only,ridge_classifier,301,2000,2000,15,0.7276684881602914,0.03022686210788688,0.629847053531264,0.04399578760523859,0.8327301353617143,0.04880689738812186,0.798869853876532,0.05868737302309186,0.4082821585780429,0.11520715668024903,0.9712820512820514,0.0760092236843292,0.2666666666666666,0.09544939173883539,0.9930274403958614,0.020977709879492473,0.7275747508305648,0.6298429319371728,0.8317097678354223,0.7864787957611852,0.41706161137440756,0.9565217391304348,0.26666666666666666,0.9930191972076788,88,4,569,242
sgd_hinge_t1_only,t1_only,sgd_hinge,301,2000,2000,15,0.7463387978142075,0.053349979325992,0.7468245205087309,0.05224506663946686,0.8324929456508403,0.04184747557342359,0.7955132417033579,0.04856332995172696,0.6833432287547174,0.06050943024989947,0.6347064712085565,0.0703239340065677,0.7484848484848484,0.08737728224756863,0.7451641925326136,0.07892580708811255,0.7464008859357697,0.7468427732825639,0.8313924586175895,0.7853029736283773,0.6832641770401107,0.628498727735369,0.7484848484848485,0.7452006980802792,247,146,427,83
linear_svc_t0_delta,t0_delta,linear_svc_l2,301,4000,4000,15,0.7342440801457195,0.031159636274532294,0.6453400400768821,0.04537180940927971,0.8223428618165461,0.04616259274892564,0.7682698170784423,0.05002706124469871,0.4549856777823036,0.11548836159031954,0.897939837939838,0.08244635486012399,0.3151515151515152,0.10086208491380781,0.9755285650022493,0.021014574774895982,0.7342192691029901,0.6453593526891956,0.8203924057327198,0.7587275246915034,0.4642857142857143,0.8813559322033898,0.3151515151515151,0.9755671902268761,104,14,559,226
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,301,2000,50,15,0.730928961748634,0.03963715896930708,0.6369893264630107,0.052044066757410676,0.8223101459943563,0.04745340223794719,0.7712915042315724,0.06258429795059986,0.43102741140950257,0.11846904363669682,0.921031746031746,0.09364490834345757,0.2878787878787879,0.09968466614432428,0.9860998650472335,0.016586803235787408,0.7308970099667774,0.6369585911470729,0.8194986514358241,0.7628682728681774,0.4387990762124711,0.9223300970873787,0.2878787878787879,0.9860383944153578,95,8,565,235
pls2_logreg_t0_only,t0_only,pls2_logreg,301,2000,2,15,0.7620218579234972,0.04972645426288446,0.752020202020202,0.060393311078926794,0.8186889134257556,0.06231025235636927,0.7614060782501948,0.06724171580021941,0.6844853695717288,0.07601005370226079,0.6606016478292998,0.06057433746799857,0.7151515151515152,0.11195729213279494,0.7888888888888889,0.04437776360863521,0.7619047619047619,0.7519911153419008,0.8201015389497064,0.7576990708305018,0.6870451237263464,0.6610644257703081,0.7151515151515152,0.7888307155322862,236,121,452,94
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,301,2000,20,15,0.7309107468123862,0.03877909998606689,0.638903202061097,0.049337811686431025,0.7898662740768005,0.04973569676258906,0.7297627482661534,0.06830129886029931,0.44037650201183764,0.11219008893220415,0.8962433862433863,0.11198241812155134,0.29696969696969705,0.09069238239845852,0.9808367071524965,0.01846649282941331,0.7308970099667774,0.6388862446454069,0.789719181342218,0.7194082525359127,0.44646924829157175,0.8990825688073395,0.296969696969697,0.9808027923211169,98,11,562,232
sgd_log_loss_t0_only,t0_only,sgd_log_loss,301,2000,2000,15,0.7719489981785065,0.06397991958386574,0.7701447675131885,0.07065604773657173,0.7879708011286958,0.062443687936496746,0.6279078477953811,0.08163727080532399,0.708203981565133,0.08532739901186089,0.6661788389056335,0.07716927916335711,0.7636363636363636,0.11803187290910924,0.7766531713900134,0.07008222591383707,0.7718715393133998,0.7701253371410439,0.7859088264847427,0.6203980608297623,0.7098591549295775,0.6631578947368421,0.7636363636363637,0.7766143106457243,252,128,445,78
sgd_log_loss_t1_only,t1_only,sgd_log_loss,301,2000,2000,15,0.7553005464480875,0.05616397285819759,0.7507422402159244,0.050248850275692404,0.7770713204923732,0.05180770506403261,0.6134615630855609,0.06939448041091756,0.6874366567375051,0.05723800053482235,0.6584149933672847,0.08779604689811339,0.7333333333333335,0.08737728224756866,0.7681511470985156,0.09526768229503087,0.7552602436323367,0.750610820244328,0.7769501295679306,0.6013395961266375,0.6865248226950355,0.6453333333333333,0.7333333333333333,0.7678883071553229,242,133,440,88
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,301,2000,50,15,0.6910746812386156,0.024248354423666303,0.585633664581033,0.02822919587094267,0.7739438923649451,0.041226690006828895,0.7028321456610124,0.05047219322115888,0.3128097343269756,0.06768353392559823,0.843015873015873,0.152552164302534,0.19393939393939388,0.046945252681302015,0.9773279352226719,0.023967756796262774,0.6910299003322259,0.5856258924321751,0.7716748638214607,0.6850600420410274,0.3144963144963145,0.8311688311688312,0.19393939393939394,0.9773123909249564,64,13,560,266
