experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
logreg_elasticnet_C0.1_l1r0.1_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.1,0.8,0.7942583732057416,0.8899521531100478,0.8712639111862857,0.7391304347826086,0.7083333333333334,0.7727272727272727,0.8157894736842105,17,7,31,5,13
logreg_elasticnet_C0.1_l1r0.1_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.1,0.7666666666666667,0.7488038277511961,0.8229665071770335,0.7910303305230326,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7,14
logreg_elasticnet_C0.1_l1r0.1_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.1,0.8166666666666667,0.8074162679425837,0.868421052631579,0.839658109153254,0.7555555555555555,0.7391304347826086,0.7727272727272727,0.8421052631578947,17,6,32,5,15
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.8360655737704918,0.8222610722610723,0.8484848484848485,0.6983141315691309,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.8717948717948718,17,5,34,5,1
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7166666666666667,0.7188995215311005,0.7763157894736842,0.7540443174043225,0.6530612244897959,0.5925925925925926,0.7272727272727273,0.7105263157894737,16,11,27,6,2
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.75,0.7260765550239234,0.8253588516746411,0.7475580485790507,0.6511627906976745,0.6666666666666666,0.6363636363636364,0.8157894736842105,14,7,31,8,3
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7333333333333333,0.7129186602870814,0.7308612440191388,0.6442476624458818,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7894736842105263,14,8,30,8,4
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.75,0.7069377990430622,0.7906698564593302,0.7077708170833316,0.6153846153846154,0.7058823529411765,0.5454545454545454,0.868421052631579,12,5,33,10,5
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7049180327868853,0.6800699300699301,0.7645687645687645,0.708141145292695,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7692307692307693,13,9,30,9,6
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7166666666666667,0.6614832535885168,0.7583732057416268,0.7235527079554382,0.5405405405405406,0.6666666666666666,0.45454545454545453,0.868421052631579,10,5,33,12,7
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7,0.6770334928229665,0.7703349282296651,0.7235961092888428,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7631578947368421,13,9,29,9,8
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.8,0.7559808612440191,0.8492822966507176,0.8011504542382906,0.6842105263157895,0.8125,0.5909090909090909,0.9210526315789473,13,3,35,9,9
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.8,0.784688995215311,0.819377990430622,0.6487157133654264,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8421052631578947,16,6,32,6,10
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7049180327868853,0.6602564102564102,0.7505827505827506,0.6588628939580753,0.55,0.6111111111111112,0.5,0.8205128205128205,11,7,32,11,11
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7333333333333333,0.722488038277512,0.7224880382775121,0.5976298523580214,0.6521739130434783,0.625,0.6818181818181818,0.7631578947368421,15,9,29,7,12
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7666666666666667,0.7488038277511961,0.8026315789473685,0.7599336113510953,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7,13
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.8,0.7751196172248804,0.7978468899521531,0.7659498602425228,0.7142857142857143,0.75,0.6818181818181818,0.868421052631579,15,5,33,7,14
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,0.7333333333333333,0.722488038277512,0.7954545454545454,0.7158323247224847,0.6521739130434783,0.625,0.6818181818181818,0.7631578947368421,15,9,29,7,15
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.8032786885245902,0.7867132867132867,0.8158508158508158,0.6739184880266504,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8461538461538461,16,6,33,6,1
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7166666666666667,0.7093301435406698,0.7703349282296651,0.7435567056986321,0.6382978723404256,0.6,0.6818181818181818,0.7368421052631579,15,10,28,7,2
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7333333333333333,0.7129186602870814,0.7655502392344498,0.6355851652386947,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7894736842105263,14,8,30,8,3
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.6333333333333333,0.6052631578947368,0.6710526315789473,0.5520709205701959,0.5,0.5,0.5,0.7105263157894737,11,11,27,11,4
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7,0.6770334928229665,0.7679425837320575,0.6677973252484242,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7631578947368421,13,9,29,9,5
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.6885245901639344,0.6771561771561772,0.7377622377622377,0.673323100091837,0.5957446808510638,0.56,0.6363636363636364,0.717948717948718,14,11,28,8,6
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.6666666666666666,0.631578947368421,0.7141148325358851,0.6568556852111125,0.5238095238095238,0.55,0.5,0.7631578947368421,11,9,29,11,7
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7,0.6674641148325359,0.7547846889952153,0.6778294900652595,0.5714285714285714,0.6,0.5454545454545454,0.7894736842105263,12,8,30,10,8
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.6666666666666666,0.6220095693779905,0.7739234449760766,0.6763981637657029,0.5,0.5555555555555556,0.45454545454545453,0.7894736842105263,10,8,30,12,9
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7,0.6866028708133971,0.7320574162679425,0.5442904965393172,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.7368421052631579,14,10,28,8,10
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7049180327868853,0.6503496503496503,0.6934731934731935,0.5613343576857399,0.5263157894736842,0.625,0.45454545454545453,0.8461538461538461,10,6,33,12,11
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.6833333333333333,0.6734449760765551,0.6842105263157894,0.5539913173567691,0.5957446808510638,0.56,0.6363636363636364,0.7105263157894737,14,11,27,8,12
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7166666666666667,0.6901913875598087,0.736842105263158,0.6397982459857604,0.6046511627906976,0.6190476190476191,0.5909090909090909,0.7894736842105263,13,8,30,9,13
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.7166666666666667,0.6901913875598087,0.757177033492823,0.7276417832298987,0.6046511627906976,0.6190476190476191,0.5909090909090909,0.7894736842105263,13,8,30,9,14
logreg_elasticnet_C0.1_l1r0.9_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.9,0.6166666666666667,0.6016746411483254,0.7129186602870814,0.5725522694475996,0.5106382978723404,0.48,0.5454545454545454,0.6578947368421053,12,13,25,10,15
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.8032786885245902,0.7867132867132867,0.8764568764568764,0.7667417668103405,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8461538461538461,16,6,33,6,1
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.7,0.715311004784689,0.7906698564593301,0.7607477649517289,0.6538461538461539,0.5666666666666667,0.7727272727272727,0.6578947368421053,17,13,25,5,2
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.8,0.8038277511961722,0.8839712918660287,0.8455903107786389,0.75,0.6923076923076923,0.8181818181818182,0.7894736842105263,18,8,30,4,3
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.7666666666666667,0.7583732057416268,0.8444976076555024,0.8325917924074986,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7894736842105263,16,8,30,6,4
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.75,0.7069377990430622,0.80622009569378,0.7471544634439891,0.6153846153846154,0.7058823529411765,0.5454545454545454,0.868421052631579,12,5,33,10,5
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.8032786885245902,0.7867132867132867,0.8356643356643357,0.8320341247720435,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8461538461538461,16,6,33,6,6
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.7166666666666667,0.680622009569378,0.7858851674641149,0.7701167191679636,0.5853658536585366,0.631578947368421,0.5454545454545454,0.8157894736842105,12,7,31,10,7
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.75,0.7452153110047848,0.8433014354066986,0.815353864707824,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,8
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.8,0.7942583732057416,0.8576555023923444,0.8431962572060283,0.7391304347826086,0.7083333333333334,0.7727272727272727,0.8157894736842105,17,7,31,5,9
