experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,n_samples,n_features,effective_n_features,n_cv_fits,threshold_mean,threshold_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,pooled_threshold,pooled_accuracy,pooled_balanced_accuracy,pooled_roc_auc,pooled_pr_auc,pooled_f1,pooled_precision,pooled_recall_sensitivity,pooled_specificity,pooled_tp,pooled_fp,pooled_tn,pooled_fn
xgboost_raw_t0_t1_delta,t0_t1_delta,xgboost,raw,tuned_f1,,,301,6000,6000,15,0.3733333333333333,0.06844358121492337,0.6266120218579235,0.09892887093837882,0.6624974440763914,0.058739970912570695,0.7137120189751769,0.05174579625125056,0.6202990616066356,0.07116610368054843,0.6126847364828699,0.03717910467400518,0.5155551384075888,0.07993072390812382,0.7969696969696969,0.13069005244150197,0.5280251911830859,0.22091245957215186,0.4,0.64562569213732,0.6565127716960177,0.7133745835316516,0.5895141728020667,0.5897435897435898,0.5111111111111111,0.696969696969697,0.6160558464223386,230,220,353,100
xgboost_select50_t0_only,t0_only,xgboost,selectk,default_0.5,50.0,,301,2000,50,15,0.5,0.0,0.6157012750455373,0.057830340842053816,0.5764425632846686,0.052432095052718224,0.6134482476587739,0.050027286183140625,0.5203512599099577,0.05075279477506557,0.4499017538611059,0.06498812181421001,0.4823060006919656,0.08992898092845407,0.43030303030303024,0.07462354689032095,0.7225820962663068,0.08870546001097435,0.5,0.6157253599114064,0.576408059654133,0.6148183404727907,0.5045187580399687,0.4500792393026941,0.4717607973421927,0.4303030303030303,0.7225130890052356,142,159,414,188
xgboost_select50_t0_only,t0_only,xgboost,selectk,tuned_f1,50.0,,301,2000,50,15,0.24833333333333338,0.1211797169889574,0.5179781420765027,0.1159687766651009,0.5928638612849139,0.0654350349064006,0.6134482476587739,0.050027286183140625,0.5203512599099577,0.05075279477506557,0.5734169705123178,0.02938649852780391,0.442343986562027,0.07693612880924569,0.8727272727272728,0.13872415785170478,0.3130004498425551,0.2583358522975236,0.2,0.42857142857142855,0.5330318895763922,0.6148183404727907,0.5045187580399687,0.5409252669039146,0.38287153652392947,0.9212121212121213,0.14485165794066318,304,490,83,26
xgboost_select100_t0_only,t0_only,xgboost,selectk,default_0.5,100.0,,301,2000,100,15,0.5,0.0,0.65224043715847,0.041721205396148625,0.6046395125342495,0.04796556607109243,0.6566147302989408,0.049955114701111504,0.5719298910201619,0.04641327852472989,0.46979679829940346,0.08330994194453534,0.5298090227700538,0.08792300205058952,0.4272727272727272,0.09219864597038362,0.7820062977957715,0.05040539812497624,0.5,0.6522702104097453,0.6045613200063462,0.6520387117245755,0.5480158480471675,0.47315436241610737,0.5300751879699248,0.42727272727272725,0.7818499127399651,141,125,448,189
xgboost_select100_t0_only,t0_only,xgboost,selectk,tuned_f1,100.0,,301,2000,100,15,0.29166666666666663,0.10336597026838092,0.553752276867031,0.11739686999961664,0.6130004498425552,0.06977237946825497,0.6566147302989408,0.049955114701111504,0.5719298910201619,0.04641327852472989,0.5812661434125524,0.04120392405432619,0.46018168818961125,0.0725609563276443,0.8333333333333334,0.13921972927174028,0.39266756635177685,0.2552303153728458,0.25,0.4739756367663344,0.5610978898937015,0.6520387117245755,0.5480158480471675,0.5514636449480642,0.40054869684499317,0.8848484848484849,0.23734729493891799,292,437,136,38
xgboost_select200_t0_only,t0_only,xgboost,selectk,default_0.5,200.0,,301,2000,200,15,0.5,0.0,0.6610746812386155,0.04251897216658996,0.6109966057334478,0.04650407791745539,0.6787510734879156,0.05922466717753927,0.601128288736518,0.062392128279243786,0.4749230222914433,0.07619519751013591,0.5493480557206047,0.08092702827956869,0.4242424242424242,0.09036634521709135,0.7977507872244713,0.05864374131487788,0.5,0.6611295681063123,0.6108995716325559,0.6749643027129938,0.5781546088865447,0.4778156996587031,0.546875,0.42424242424242425,0.7975567190226877,140,116,457,190
xgboost_select200_t0_only,t0_only,xgboost,selectk,tuned_f1,200.0,,301,2000,200,15,0.28666666666666657,0.11834674638938064,0.5547176684881603,0.11690908359015664,0.6194393325972275,0.07387001834641611,0.6787510734879156,0.05922466717753927,0.601128288736518,0.062392128279243786,0.5906419257218646,0.04363149613305885,0.46274109514675554,0.07897778123963156,0.8606060606060607,0.1171113692430496,0.378272604588394,0.24155465455209285,0.35,0.583610188261351,0.619855624305886,0.6749643027129938,0.5781546088865447,0.5697940503432495,0.4577205882352941,0.7545454545454545,0.4851657940663176,249,295,278,81
xgboost_select500_t0_only,t0_only,xgboost,selectk,default_0.5,500.0,,301,2000,500,15,0.5,0.0,0.6776502732240438,0.03870606296572389,0.6239970555760029,0.04107793525346539,0.7031182268024375,0.047044908409569916,0.6048909899898484,0.07491522978704217,0.48661604217124116,0.07005264531454931,0.5899725960538317,0.07933878933601358,0.4242424242424242,0.09198497558820683,0.8237516869095816,0.06590674840560631,0.5,0.6777408637873754,0.623988576868158,0.6945475699402401,0.5706574179699491,0.4903677758318739,0.5809128630705395,0.42424242424242425,0.8237347294938918,140,101,472,190
xgboost_select500_t0_only,t0_only,xgboost,selectk,tuned_f1,500.0,,301,2000,500,15,0.35833333333333334,0.08327378825010792,0.633351548269581,0.09214721192412592,0.6640678035414876,0.055767232160639606,0.7031182268024375,0.047044908409569916,0.6048909899898484,0.07491522978704217,0.6120943291470533,0.035385649812659896,0.5188557038967146,0.0801359175714204,0.7787878787878788,0.10710677603149799,0.5493477282950966,0.19885850072321648,0.3,0.5359911406423035,0.6048231001110582,0.6945475699402401,0.5706574179699491,0.5754812563323202,0.4322678843226788,0.8606060606060606,0.34904013961605584,284,373,200,46
xgboost_select50_t1_only,t1_only,xgboost,selectk,default_0.5,50.0,,301,2000,50,15,0.5,0.0,0.6234790528233152,0.057957039125079844,0.5889400073610601,0.05872323264168426,0.6391690181163864,0.06000485490658493,0.5324518153711926,0.08264323182042771,0.47081616951492916,0.07919522396299362,0.4872819646315406,0.08095400194040497,0.4606060606060606,0.08905026018513225,0.7172739541160594,0.07356915308494257,0.5,0.6234772978959026,0.5889417737585277,0.6343910307261093,0.48952315766632004,0.4720496894409938,0.4840764331210191,0.46060606060606063,0.7172774869109948,152,162,411,178
