experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
xgboost_select100_t1_only,t1_only,xgboost,selectk,default_0.5,100,,0.5,0.6166666666666667,0.5729665071770335,0.6758373205741627,0.4972714395301284,0.43902439024390244,0.47368421052631576,0.4090909090909091,0.7368421052631579,9,10,28,13,15
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.45,0.7377049180327869,0.7453379953379953,0.7564102564102564,0.6562469384771944,0.68,0.6071428571428571,0.7727272727272727,0.717948717948718,17,11,28,5,1
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.4,0.7,0.7057416267942584,0.7260765550239234,0.6663058784660173,0.64,0.5714285714285714,0.7272727272727273,0.6842105263157895,16,12,26,6,2
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.45,0.6833333333333333,0.6925837320574163,0.7679425837320574,0.6505494348499049,0.6274509803921569,0.5517241379310345,0.7272727272727273,0.6578947368421053,16,13,25,6,3
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.275,0.5333333333333333,0.6220095693779905,0.6232057416267942,0.4729710255880817,0.6,0.4375,0.9545454545454546,0.2894736842105263,21,27,11,1,4
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.35,0.55,0.59688995215311,0.6435406698564593,0.5672580823940706,0.5573770491803278,0.4358974358974359,0.7727272727272727,0.42105263157894735,17,22,16,5,5
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.5,0.7049180327868853,0.6998834498834499,0.6713286713286714,0.5300099302430293,0.625,0.5769230769230769,0.6818181818181818,0.717948717948718,15,11,28,7,6
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.4,0.65,0.6662679425837321,0.6806220095693779,0.5379528837173708,0.6037735849056604,0.5161290322580645,0.7272727272727273,0.6052631578947368,16,15,23,6,7
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.35,0.6,0.6650717703349283,0.7021531100478469,0.5673447307703859,0.625,0.47619047619047616,0.9090909090909091,0.42105263157894735,20,22,16,2,8
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.25,0.65,0.7236842105263158,0.7882775119617225,0.6271445062569005,0.676923076923077,0.5116279069767442,1.0,0.4473684210526316,22,21,17,0,9
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.4,0.65,0.6662679425837321,0.6614832535885168,0.4617913935234098,0.6037735849056604,0.5161290322580645,0.7272727272727273,0.6052631578947368,16,15,23,6,10
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.275,0.5901639344262295,0.6596736596736597,0.7004662004662006,0.5258913762203387,0.6153846153846154,0.46511627906976744,0.9090909090909091,0.41025641025641024,20,23,16,2,11
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.3,0.55,0.6255980861244019,0.6578947368421053,0.5824090387213067,0.5970149253731343,0.4444444444444444,0.9090909090909091,0.34210526315789475,20,25,13,2,12
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.275,0.5,0.5956937799043063,0.6028708133971292,0.44289611582054794,0.5833333333333334,0.42,0.9545454545454546,0.23684210526315788,21,29,9,1,13
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.075,0.38333333333333336,0.5131578947368421,0.6064593301435406,0.5554524217549048,0.5432098765432098,0.3728813559322034,1.0,0.02631578947368421,22,37,1,0,14
