experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7166666666666667,0.6423444976076556,0.7212918660287081,0.6595955658433372,0.48484848484848486,0.7272727272727273,0.36363636363636365,0.9210526315789473,8,3,35,14,12
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.6333333333333333,0.5669856459330144,0.7607655502392344,0.6707348577956539,0.3888888888888889,0.5,0.3181818181818182,0.8157894736842105,7,7,31,15,13
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7166666666666667,0.6232057416267942,0.7177033492822966,0.643147208194683,0.41379310344827586,0.8571428571428571,0.2727272727272727,0.9736842105263158,6,1,37,16,14
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7333333333333333,0.6555023923444976,0.8169856459330144,0.7642544698566562,0.5,0.8,0.36363636363636365,0.9473684210526315,8,2,36,14,15
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7377049180327869,0.6462703962703963,0.8123543123543123,0.7923123691695535,0.4666666666666667,0.875,0.3181818181818182,0.9743589743589743,7,1,38,15,1
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.6666666666666666,0.5645933014354066,0.6937799043062202,0.6088722627299834,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.9473684210526315,4,2,36,18,2
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7666666666666667,0.6913875598086124,0.8397129186602872,0.7570309627798891,0.5625,0.9,0.4090909090909091,0.9736842105263158,9,1,37,13,3
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7833333333333333,0.7045454545454546,0.8552631578947367,0.8235071474175903,0.5806451612903226,1.0,0.4090909090909091,1.0,9,0,38,13,4
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7333333333333333,0.6363636363636364,0.7667464114832537,0.7165576985689659,0.42857142857142855,1.0,0.2727272727272727,1.0,6,0,38,16,5
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7213114754098361,0.6235431235431235,0.7692307692307692,0.6861494646999134,0.41379310344827586,0.8571428571428571,0.2727272727272727,0.9743589743589743,6,1,38,16,6
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.6666666666666666,0.5645933014354066,0.7344497607655502,0.6011997343757581,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.9473684210526315,4,2,36,18,7
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7166666666666667,0.6136363636363636,0.7523923444976076,0.7082392888415325,0.37037037037037035,1.0,0.22727272727272727,1.0,5,0,38,17,8
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7333333333333333,0.645933014354067,0.8456937799043062,0.7893768159482095,0.4666666666666667,0.875,0.3181818181818182,0.9736842105263158,7,1,37,15,9
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7833333333333333,0.7045454545454546,0.8301435406698565,0.8213715350527551,0.5806451612903226,1.0,0.4090909090909091,1.0,9,0,38,13,10
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7213114754098361,0.6235431235431235,0.7855477855477855,0.6628871667672409,0.41379310344827586,0.8571428571428571,0.2727272727272727,0.9743589743589743,6,1,38,16,11
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.75,0.6686602870813397,0.7667464114832536,0.7411392736012774,0.5161290322580645,0.8888888888888888,0.36363636363636365,0.9736842105263158,8,1,37,14,12
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7166666666666667,0.6232057416267942,0.8373205741626795,0.7532051734727754,0.41379310344827586,0.8571428571428571,0.2727272727272727,0.9736842105263158,6,1,37,16,13
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.7833333333333333,0.7045454545454546,0.7296650717703349,0.7226401761437782,0.5806451612903226,1.0,0.4090909090909091,1.0,9,0,38,13,14
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,0.6833333333333333,0.5681818181818181,0.8289473684210527,0.7619521544230785,0.24,1.0,0.13636363636363635,1.0,3,0,38,19,15
