experiment,feature_set,model,fold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,8,0.7368421052631579,0.6360153256704981,0.7701149425287357,0.5873782698782699,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8275862068965517,4,5,24,5
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,9,0.868421052631579,0.7605363984674329,0.9080459770114943,0.7995642701525056,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.9655172413793104,5,1,28,4
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,10,0.7631578947368421,0.7298850574712643,0.7586206896551723,0.6339506172839506,0.5714285714285714,0.5,0.6666666666666666,0.7931034482758621,6,6,23,3
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,11,0.8947368421052632,0.7958333333333334,0.9375,0.8686038011695907,0.7142857142857143,0.8333333333333334,0.625,0.9666666666666667,5,1,29,3
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,12,0.8421052631578947,0.8083333333333333,0.9041666666666668,0.7329184704184704,0.6666666666666666,0.6,0.75,0.8666666666666667,6,4,26,2
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,13,0.7631578947368421,0.5766283524904214,0.7509578544061303,0.5192550505050506,0.3076923076923077,0.5,0.2222222222222222,0.9310344827586207,2,2,27,7
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,14,0.868421052631579,0.7222222222222222,0.9425287356321839,0.8865260795085357,0.6153846153846154,1.0,0.4444444444444444,1.0,4,0,29,5
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,15,0.8947368421052632,0.7777777777777778,0.8697318007662835,0.7632918552036201,0.7142857142857143,1.0,0.5555555555555556,1.0,5,0,29,4
pca20_rbf_svm_t0_only,t0_only,pca20_rbf_svm,1,0.9210526315789473,0.8583333333333334,0.8625,0.7927489177489178,0.8,0.8571428571428571,0.75,0.9666666666666667,6,1,29,2
pca20_rbf_svm_t0_only,t0_only,pca20_rbf_svm,2,0.9210526315789473,0.9041666666666667,0.9458333333333333,0.9226190476190477,0.8235294117647058,0.7777777777777778,0.875,0.9333333333333333,7,2,28,1
pca20_rbf_svm_t0_only,t0_only,pca20_rbf_svm,3,0.868421052631579,0.7222222222222222,0.8275862068965517,0.7425518925518926,0.6153846153846154,1.0,0.4444444444444444,1.0,4,0,29,5
pca20_rbf_svm_t0_only,t0_only,pca20_rbf_svm,4,0.8947368421052632,0.7777777777777778,0.9157088122605365,0.8374958374958377,0.7142857142857143,1.0,0.5555555555555556,1.0,5,0,29,4
pca20_rbf_svm_t0_only,t0_only,pca20_rbf_svm,5,0.9210526315789473,0.8716475095785441,0.9655172413793104,0.8615961199294533,0.8235294117647058,0.875,0.7777777777777778,0.9655172413793104,7,1,28,2
pca20_rbf_svm_t0_only,t0_only,pca20_rbf_svm,6,0.8947368421052632,0.8416666666666667,0.9458333333333333,0.8717261904761905,0.75,0.75,0.75,0.9333333333333333,6,2,28,2
