experiment,feature_set,model,n_samples,n_features,effective_n_features,n_cv_fits,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,pooled_roc_auc,pooled_pr_auc,pooled_balanced_accuracy,pooled_recall_sensitivity,pooled_specificity,pooled_f1,pooled_precision,pooled_tp,pooled_fp,pooled_tn,pooled_fn,pooled_accuracy
linear_svc_C0.1_t1_only,t1_only,linear_svc_l2_C0.1,190,2000,2000,15,0.9434227330779055,0.057437611779584306,0.9055319120338471,0.08689931163745954,0.8738569604086843,0.0753728758744833,0.862962962962963,0.11415313260579169,0.8847509578544062,0.08367205569071391,0.7718063087010455,0.12610641458543517,0.7138641315111903,0.16997183843069763,0.8789473684210526,0.0736304852471885,0.9386524635694069,0.8902547605635496,0.8724094288878341,0.8604651162790697,0.8843537414965986,0.7628865979381443,0.6851851851851852,111,51,390,18,0.8789473684210526
ridge_t0_only,t0_only,ridge_classifier,190,2000,2000,15,0.9427107279693487,0.037850359512330095,0.8697785052828912,0.08102713505177762,0.7042209450830138,0.07900858592827814,0.4129629629629629,0.1577882104010429,0.9954789272030652,0.01193305811803043,0.5633943833943834,0.1477688022060349,0.9666666666666667,0.09343531843023134,0.8631578947368422,0.038778336716474064,0.9316739615742938,0.8494495137489796,0.7031587828930022,0.4108527131782946,0.9954648526077098,0.5760869565217391,0.9636363636363636,53,2,439,76,0.8631578947368421
ridge_alpha10_t0_only,t0_only,ridge_classifier_alpha10,190,2000,2000,15,0.9427107279693487,0.037850359512330095,0.8697785052828912,0.08102713505177762,0.7042209450830138,0.07900858592827814,0.4129629629629629,0.1577882104010429,0.9954789272030652,0.01193305811803043,0.5633943833943834,0.1477688022060349,0.9666666666666667,0.09343531843023134,0.8631578947368422,0.038778336716474064,0.9319376329343106,0.8499605652275848,0.7031587828930022,0.4108527131782946,0.9954648526077098,0.5760869565217391,0.9636363636363636,53,2,439,76,0.8631578947368421
logreg_l2_t1_only,t1_only,logreg_l2,190,2000,2000,15,0.9413346104725415,0.059114328445588615,0.9010487926547868,0.09144398488708995,0.8706641123882501,0.07671873276200554,0.8703703703703705,0.11181161457833855,0.8709578544061305,0.07727996078171247,0.7594344030009664,0.12422937741674617,0.6842901869372457,0.15522885627927993,0.8701754385964912,0.0720458749630772,0.9372462163159837,0.8867841359123305,0.8694826767916468,0.8682170542635659,0.8707482993197279,0.7516778523489933,0.6627218934911243,112,57,384,17,0.8701754385964913
logreg_l2_t0_t1,t0_t1,logreg_l2,190,4000,4000,15,0.9374712643678164,0.06571924320911642,0.8871282529280281,0.1035205174166557,0.870456577266922,0.06891466680200303,0.887962962962963,0.12603918420602542,0.8529501915708814,0.06548045328283059,0.7439283255543855,0.09319824227095459,0.651951566951567,0.12066599932029567,0.8596491228070174,0.05684860261761279,0.9328341155583681,0.8802879492588298,0.8681643199915625,0.8837209302325582,0.8526077097505669,0.7402597402597403,0.6368715083798883,114,65,376,15,0.8596491228070176
linear_svc_t0_t1,t0_t1,linear_svc_l2,190,4000,4000,15,0.9349616858237547,0.06945860556215257,0.8856340619036084,0.10224603838719937,0.8719220945083014,0.07100681576969155,0.8796296296296297,0.12217561641475638,0.8642145593869732,0.055371948071515055,0.7509106694246012,0.09540453360596726,0.6639628889628889,0.11527107444354176,0.8666666666666666,0.05490094929006962,0.9319024767529751,0.8809903355135339,0.8699572852396773,0.875968992248062,0.8639455782312925,0.7483443708609272,0.653179190751445,113,60,381,16,0.8666666666666667
linear_svc_C0.1_t0_t1,t0_t1,linear_svc_l2_C0.1,190,4000,4000,15,0.9349616858237547,0.06945860556215257,0.8856340619036084,0.10224603838719937,0.8708109833971903,0.07198698710064814,0.8796296296296297,0.12217561641475638,0.8619923371647509,0.06003865823090351,0.7490661371452864,0.0980092576948773,0.6617406667406667,0.11892127790757488,0.8649122807017544,0.05788334360439932,0.931902476752975,0.8810083820508258,0.8688234983916048,0.875968992248062,0.8616780045351474,0.7458745874587459,0.6494252873563219,113,61,380,16,0.8649122807017544
pls2_logreg_t1_only,t1_only,pls2_logreg,190,2000,2,15,0.9347701149425287,0.04815623998891177,0.8662294327858054,0.09736947651716647,0.8655459770114943,0.0715859406130003,0.8194444444444444,0.13007764605622035,0.911647509578544,0.04746537308169474,0.7716678133241601,0.09581251509857636,0.740829725829726,0.11101675239473285,0.8894736842105264,0.04993069989739546,0.9316212273022904,0.8477742924907756,0.8627590571112166,0.813953488372093,0.9115646258503401,0.7692307692307693,0.7291666666666666,105,39,402,24,0.8894736842105263
logreg_l2_t0_only,t0_only,logreg_l2,190,2000,2000,15,0.9322062579821201,0.06003832549194903,0.8749092108934062,0.0854643114486535,0.8670817369093231,0.07843824570720094,0.8425925925925927,0.16108944389971694,0.8915708812260537,0.05104030105346544,0.7564464190779979,0.09879165793184769,0.7033679283679285,0.11265626746361142,0.8789473684210527,0.04749356901459776,0.925328270843221,0.86477783771823,0.8641828824553077,0.8372093023255814,0.891156462585034,0.7578947368421053,0.6923076923076923,108,48,393,21,0.8789473684210526
linear_svc_C0.1_t0_only,t0_only,linear_svc_l2_C0.1,190,2000,2000,15,0.9242305236270756,0.05966122226693303,0.8643467665470366,0.08125543192998175,0.8764559386973179,0.06733319336286046,0.85,0.15485599500410865,0.902911877394636,0.04514197921559291,0.7728883408759567,0.07642217628126001,0.7280673030673032,0.08522535036822931,0.8894736842105264,0.0332871332649303,0.9196505475575243,0.8606890114718371,0.8737277856879185,0.8449612403100775,0.9024943310657596,0.7758007117437722,0.7171052631578947,109,43,398,20,0.8894736842105263
linear_svc_t0_only,t0_only,linear_svc_l2,190,2000,2000,15,0.9242305236270756,0.05966122226693303,0.8643467665470366,0.08125543192998175,0.8753448275862069,0.06616020359018968,0.85,0.15485599500410865,0.9006896551724137,0.04610573114490969,0.7700813233320971,0.07444593239574093,0.7240268990268991,0.08668975003794868,0.887719298245614,0.03217892859396883,0.9196505475575243,0.8610297153957296,0.872593998839846,0.8449612403100775,0.9002267573696145,0.7730496453900709,0.7124183006535948,109,44,397,20,0.887719298245614
sgd_hinge_t1_only,t1_only,sgd_hinge,190,2000,2000,15,0.9128224776500639,0.060116471961391485,0.8549127659069345,0.09332104227660862,0.8264272030651341,0.07669664871793819,0.8638888888888888,0.11984521175058037,0.7889655172413793,0.07947532874265802,0.6723442796715108,0.10218924378910405,0.5577541610436347,0.11628307552104074,0.8052631578947368,0.07019110100905017,0.9121095466610417,0.8457637503514995,0.8247903812687866,0.8604651162790697,0.7891156462585034,0.6666666666666666,0.5441176470588235,111,93,348,18,0.8052631578947368
sgd_hinge_t0_only,t0_only,sgd_hinge,190,2000,2000,15,0.912078544061303,0.046914623020908965,0.8215454682056849,0.08704927890971947,0.7972318007662835,0.07810313932785241,0.8416666666666668,0.14947733750240455,0.7527969348659005,0.06752528260977969,0.6247119800559923,0.08869614957157479,0.5028006579477168,0.07520946528845646,0.7719298245614037,0.05856301476465125,0.8958673908840021,0.7724452292376041,0.7950218847228814,0.8372093023255814,0.7528344671201814,0.6242774566473989,0.4976958525345622,108,109,332,21,0.7719298245614035
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,190,2000,50,15,0.9067081736909324,0.0594874366164628,0.7648849492112941,0.1313548637768873,0.6002554278416348,0.07742972130675531,0.21851851851851853,0.15735098584198273,0.9819923371647509,0.024932828494717695,0.3173493173493174,0.2004979850961447,0.6944444444444444,0.3614162325099595,0.8087719298245614,0.03783133096990844,0.8937228638225316,0.7200993496654697,0.5994568369983653,0.21705426356589147,0.981859410430839,0.3393939393939394,0.7777777777777778,28,8,433,101,0.8087719298245614
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,190,2000,50,15,0.8951724137931033,0.09375580785006976,0.7601902553038368,0.18115712919651866,0.695890804597701,0.1065288878332249,0.4305555555555555,0.20030840419244386,0.9612260536398467,0.03885151393299924,0.5343894993894994,0.19916380587313423,0.7714285714285715,0.21575460271072994,0.8403508771929824,0.06248598312680669,0.8868498303714252,0.7135549352430354,0.6939039181564098,0.4263565891472868,0.9614512471655329,0.5472636815920398,0.7638888888888888,55,17,424,74,0.8403508771929824
pca20_rbf_svm_t1_only,t1_only,pca20_rbf_svm,190,2000,20,15,0.8931194125159643,0.09544486638532543,0.7617738291755942,0.18346056929439924,0.7483237547892722,0.13349484517976412,0.5694444444444444,0.23435387176960376,0.9272030651340997,0.05942280466441359,0.6168462256697552,0.2202857469499527,0.7006878306878307,0.24340445210239475,0.8456140350877193,0.08490472014228836,0.884230694861924,0.7033776967717574,0.7466645572957865,0.5658914728682171,0.927437641723356,0.6239316239316239,0.6952380952380952,73,32,409,56,0.8456140350877193
pls2_logreg_t0_only,t0_only,pls2_logreg,190,2000,2,15,0.8875287356321838,0.07328542165517254,0.734456172795325,0.15783394693596048,0.7638633461047255,0.11996847826374792,0.6203703703703703,0.24976105571131263,0.9073563218390804,0.057377263026083286,0.6202233496351143,0.16929875856534968,0.6691452991452992,0.14376089629648683,0.8403508771929824,0.06327266097374382,0.8783420344882139,0.7006640859588127,0.7597162896166219,0.6124031007751938,0.9070294784580499,0.6345381526104418,0.6583333333333333,79,41,400,50,0.8403508771929824
linear_svc_t0_delta,t0_delta,linear_svc_l2,190,4000,4000,15,0.8870657726692209,0.07104215767706941,0.7921820646520457,0.1296019704985869,0.7955906768837803,0.05434213267918834,0.7879629629629629,0.14476333338429936,0.8032183908045977,0.07095009893768517,0.6373642763811022,0.05426386554186486,0.550101695689931,0.07402932225920555,0.7982456140350876,0.04060614472686627,0.8745275888133032,0.7651989752498709,0.7928334124347414,0.7829457364341085,0.8027210884353742,0.637223974763407,0.5372340425531915,101,87,354,28,0.7982456140350878
pca20_rbf_svm_t0_only,t0_only,pca20_rbf_svm,190,2000,20,15,0.8833939974457218,0.06540697299007234,0.7637676903075453,0.11861647132471344,0.7435280970625798,0.09090531406692148,0.5231481481481481,0.18697874831692354,0.9639080459770114,0.029795875522277,0.6191889809536868,0.14578909138726262,0.8262169312169312,0.15050623541947614,0.8631578947368421,0.043583087958464474,0.8767072720561092,0.7471221292434616,0.7415493329114592,0.5193798449612403,0.963718820861678,0.6320754716981132,0.8072289156626506,67,16,425,62,0.8631578947368421
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,190,2000,10,15,0.8754022988505745,0.09485687675491307,0.7369252338767197,0.16729893673034013,0.7755779054916985,0.1354528075895669,0.639814814814815,0.23578798306335305,0.9113409961685827,0.05949613006092974,0.6495471521942111,0.2181598263087884,0.676945646945647,0.22747585938897852,0.8491228070175438,0.08640621218879269,0.863312766967252,0.6752230556473888,0.7736117702895111,0.6356589147286822,0.9115646258503401,0.656,0.6776859504132231,82,39,402,47,0.8491228070175438
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,190,2000,10,15,0.8619795657726691,0.07230050650272274,0.745522942256066,0.12083998227504954,0.7577745849297575,0.08642837182027613,0.587962962962963,0.18068269841727685,0.9275862068965518,0.07137551584487367,0.6337763652469535,0.13673302518233918,0.7465588115588115,0.19334887356845673,0.8491228070175438,0.05923488777590923,0.8478264690889274,0.6991742590321397,0.7544164952802827,0.5813953488372093,0.927437641723356,0.635593220338983,0.7009345794392523,75,32,409,54,0.8491228070175438
sgd_modified_huber_t1_only,t1_only,sgd_modified_huber,190,2000,2000,15,0.8515325670498084,0.05281057974757155,0.5550273855322013,0.12209210952854781,0.8515325670498084,0.05281057974757158,0.9000000000000001,0.072206958093927,0.8030651340996168,0.08570039124287886,0.7057487152223996,0.09158752515252361,0.5909645039056802,0.1256009269472355,0.8245614035087719,0.06647512385902177,0.8509729473184623,0.5366497639447455,0.8509729473184623,0.8992248062015504,0.8027210884353742,0.6987951807228916,0.5714285714285714,116,87,354,13,0.8245614035087719
sgd_log_loss_t1_only,t1_only,sgd_log_loss,190,2000,2000,15,0.8510249042145595,0.059337572369360304,0.5594215262856689,0.128900197440856,0.8440325670498083,0.056225493587115725,0.8916666666666668,0.06685654177513606,0.7963984674329502,0.09321980471318492,0.6968248950811881,0.09923537146511877,0.5830505605505605,0.13332849634293092,0.8175438596491228,0.07340620667181258,0.8509026349557911,0.5386477188380666,0.8436956177819965,0.8914728682170543,0.7959183673469388,0.688622754491018,0.5609756097560976,115,90,351,14,0.8175438596491228
sgd_log_loss_t0_only,t0_only,sgd_log_loss,190,2000,2000,15,0.8367895913154534,0.04398486521558857,0.5249617560801771,0.07896211456004575,0.8214080459770116,0.049237529908390136,0.8638888888888889,0.11984521175058035,0.7789272030651341,0.102460773556082,0.6621155710972644,0.07501503506700942,0.5548160611318506,0.1100369229827753,0.7964912280701754,0.06780131903544975,0.8338343089173653,0.5093581271719516,0.8191214470284238,0.8604651162790697,0.7777777777777778,0.6568047337278107,0.5311004784688995,111,98,343,18,0.7964912280701755
sgd_modified_huber_t0_only,t0_only,sgd_modified_huber,190,2000,2000,15,0.8293007662835249,0.05547119914415513,0.5221837967387503,0.1080800180651145,0.8293007662835249,0.05547119914415513,0.8638888888888889,0.11984521175058035,0.7947126436781609,0.09539517650031507,0.6758426212880827,0.08658632336103535,0.5725747775902573,0.12021067601457404,0.8087719298245614,0.06632613198579677,0.8270579549649317,0.5044087884920684,0.8270579549649317,0.8604651162790697,0.7936507936507936,0.6706948640483383,0.5495049504950495,111,91,350,18,0.8087719298245614
majority_class,t0_only,majority_class,190,2000,2000,15,0.5,0.0,0.22631578947368422,0.01334454086413447,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7736842105263159,0.013344540864134457,0.5,0.22631578947368422,0.5,0.0,1.0,0.0,0.0,0,0,441,129,0.7736842105263158
