experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,n_samples,n_features,n_cv_fits,threshold_mean,threshold_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,pooled_threshold,pooled_roc_auc,pooled_pr_auc,pooled_balanced_accuracy,pooled_recall_sensitivity,pooled_specificity,pooled_f1,pooled_precision,pooled_tp,pooled_fp,pooled_tn,pooled_fn,pooled_accuracy,effective_n_features
xgboost_raw_t0_t1_delta,t0_t1_delta,xgboost,raw,default_0.5,,,190,6000,15,0.5,0.0,0.7470593869731801,0.11421632881270358,0.518661004520009,0.15410030020728377,0.5603735632183908,0.07634084121886399,0.1638888888888889,0.13910697164083075,0.9568582375478928,0.03513844766957229,0.23741665741665738,0.18711719196949286,0.5144444444444444,0.38544278118306685,0.7771929824561404,0.04959937108928079,0.5,0.7376645748738773,0.46177309902803154,0.5598533987238307,0.16279069767441862,0.9569160997732427,0.2485207100591716,0.525,21,19,422,108,0.7771929824561403,6000
xgboost_raw_t0_t1_delta,t0_t1_delta,xgboost,raw,tuned_f1,,,190,6000,15,0.295,0.07571091636707918,0.7470593869731801,0.11421632881270358,0.518661004520009,0.15410030020728377,0.7308397190293744,0.060461691762101775,0.6768518518518518,0.15263942749687123,0.7848275862068966,0.11477672770922584,0.564499746799518,0.07827444744362587,0.5235025346170857,0.16843225135325482,0.7596491228070176,0.07367525903378122,0.25,0.7376645748738773,0.46177309902803154,0.7067447133892316,0.7286821705426356,0.6848072562358276,0.5193370165745856,0.4034334763948498,94,139,302,35,0.6947368421052632,6000
xgboost_select50_t0_only,t0_only,xgboost,selectk,default_0.5,50.0,,190,2000,15,0.5,0.0,0.7098339719029375,0.1064260050579056,0.47119865629322777,0.12767952037242547,0.5781545338441891,0.07540985851157643,0.26481481481481484,0.1357245347161931,0.8914942528735633,0.05876507541297358,0.3155135605135605,0.15194683272957185,0.4212433862433862,0.20061683140441622,0.749122807017544,0.05526017416458891,0.5,0.6942994251964352,0.4155136572443257,0.5773611770289511,0.26356589147286824,0.891156462585034,0.3222748815165877,0.4146341463414634,34,48,393,95,0.7491228070175439,50
xgboost_select50_t0_only,t0_only,xgboost,selectk,tuned_f1,50.0,,190,2000,15,0.24833333333333332,0.0937638878602347,0.7098339719029375,0.1064260050579056,0.47119865629322777,0.12767952037242547,0.7067209450830141,0.08531083569618798,0.8268518518518518,0.12857183682736148,0.5865900383141763,0.20377302232359634,0.5232048179603398,0.08407794773659477,0.39469093104962677,0.0958784191905439,0.6421052631578947,0.14129538083683094,0.2,0.6942994251964352,0.4155136572443257,0.6544323155618836,0.8372093023255814,0.47165532879818595,0.4595744680851064,0.31671554252199413,108,233,208,21,0.5543859649122806,50
xgboost_select100_t0_only,t0_only,xgboost,selectk,default_0.5,100.0,,190,2000,15,0.5,0.0,0.7391475095785439,0.10492752718529236,0.5186641323022557,0.14348737077365314,0.5800893997445722,0.0759260360240537,0.22592592592592595,0.13763988662151258,0.9342528735632185,0.0494275785164147,0.3013941613941614,0.1698567083806631,0.5533333333333333,0.3301154199309546,0.7736842105263156,0.05337816345653787,0.5,0.7340083320149766,0.45737341618028493,0.5795232821810895,0.2248062015503876,0.9342403628117913,0.31016042780748665,0.5,29,29,412,100,0.7736842105263158,100
xgboost_select100_t0_only,t0_only,xgboost,selectk,tuned_f1,100.0,,190,2000,15,0.2816666666666666,0.10414047289713108,0.7391475095785439,0.10492752718529236,0.5186641323022557,0.14348737077365314,0.723199233716475,0.0937010810014953,0.7611111111111112,0.18224182047144882,0.685287356321839,0.2110552665497363,0.5504589396169187,0.10236798316192403,0.4624651094855699,0.13501435636835374,0.7052631578947369,0.14317337377616257,0.275,0.7340083320149766,0.45737341618028493,0.686046511627907,0.7054263565891473,0.6666666666666666,0.49591280653950953,0.38235294117647056,91,147,294,38,0.6754385964912281,100
xgboost_select200_t0_only,t0_only,xgboost,selectk,default_0.5,200.0,,190,2000,15,0.5,0.0,0.7548754789272032,0.08030994387475117,0.5234528676630823,0.10486640554296388,0.5746551724137932,0.0633348877271106,0.19444444444444448,0.13092231497082238,0.9548659003831417,0.037471633740174946,0.2726192326192327,0.15620603311644168,0.6022222222222222,0.32937330263209325,0.7824561403508771,0.03511903364566357,0.5,0.750514159152033,0.47389954840832865,0.5742234878447503,0.1937984496124031,0.9546485260770975,0.28735632183908044,0.5555555555555556,25,20,421,104,0.7824561403508772,200
xgboost_select200_t0_only,t0_only,xgboost,selectk,tuned_f1,200.0,,190,2000,15,0.2966666666666667,0.10726580247661592,0.7548754789272032,0.08030994387475117,0.5234528676630823,0.10486640554296388,0.7372509578544061,0.07666709774096792,0.7583333333333334,0.2141258221814168,0.7161685823754789,0.22476963176381792,0.5655742880603206,0.08091092021616013,0.496171489329384,0.13652466984145556,0.7263157894736842,0.13882313881411057,0.225,0.750514159152033,0.47389954840832865,0.6984654326847017,0.8527131782945736,0.54421768707483,0.5,0.3536977491961415,110,201,240,19,0.6140350877192983,200
xgboost_select500_t0_only,t0_only,xgboost,selectk,default_0.5,500.0,,190,2000,15,0.5,0.0,0.7694955300127713,0.09674515866253175,0.5281957285403782,0.1398263320400615,0.5553256704980842,0.07347892621485813,0.14444444444444446,0.13687025099876748,0.9662068965517242,0.028374745330062623,0.21503903503903507,0.19061005616503207,0.49777777777777776,0.41604079979005315,0.780701754385965,0.038091940234512935,0.5,0.7593207825765964,0.4804991893014333,0.5566366081316247,0.14728682170542637,0.9659863945578231,0.2331288343558282,0.5588235294117647,19,15,426,110,0.7807017543859649,500
xgboost_select500_t0_only,t0_only,xgboost,selectk,tuned_f1,500.0,,190,2000,15,0.2733333333333334,0.06441125308367726,0.7694955300127713,0.09674515866253175,0.5281957285403782,0.1398263320400615,0.7539750957854406,0.06007064877357217,0.8194444444444445,0.167244369149893,0.6885057471264368,0.16099693189420164,0.5736766376046643,0.08622162209540313,0.47068481839722925,0.13288570597365543,0.7157894736842108,0.1015316029758677,0.25,0.7593207825765964,0.4804991893014333,0.701655856140906,0.7751937984496124,0.6281179138321995,0.5089058524173028,0.3787878787878788,100,164,277,29,0.6614035087719298,500
xgboost_select50_t1_only,t1_only,xgboost,selectk,default_0.5,50.0,,190,2000,15,0.5,0.0,0.7036079182630907,0.13073225612534264,0.49847589242273393,0.17829656744597022,0.6214527458492977,0.10163667947694947,0.38796296296296295,0.19054093917133383,0.8549425287356323,0.07042677433873652,0.40042925942306745,0.1853221083741399,0.4292612942612942,0.20792983929724745,0.7491228070175439,0.06953024203500408,0.5,0.6979556680553358,0.423277569049311,0.6212360913357591,0.3875968992248062,0.854875283446712,0.411522633744856,0.43859649122807015,50,64,377,79,0.7491228070175439,50
xgboost_select50_t1_only,t1_only,xgboost,selectk,tuned_f1,50.0,,190,2000,15,0.30833333333333335,0.10422617347909899,0.7036079182630907,0.13073225612534264,0.49847589242273393,0.17829656744597022,0.7203288633461047,0.07840234092747722,0.7398148148148148,0.17516893668285144,0.7008429118773947,0.15056121642386605,0.5400425559494074,0.10379887961357694,0.4503415590257696,0.128668794358365,0.7087719298245614,0.09969614831669017,0.35,0.6979556680553358,0.423277569049311,0.6714654854189738,0.5968992248062015,0.746031746031746,0.48427672955974843,0.4074074074074074,77,112,329,52,0.712280701754386,50
xgboost_select100_t1_only,t1_only,xgboost,selectk,default_0.5,100.0,,190,2000,15,0.5,0.0,0.7108141762452106,0.11986111134348194,0.5027054147703572,0.13471326425218197,0.6093901660280971,0.09207335925606089,0.3342592592592593,0.18043850499777445,0.8845210727969348,0.04901280252435758,0.37151286621874857,0.17534637707487102,0.4479629629629629,0.19512265835586823,0.7596491228070176,0.05435766099940234,0.5,0.7040904216983952,0.4444356218452302,0.608843537414966,0.3333333333333333,0.8843537414965986,0.38565022421524664,0.4574468085106383,43,51,390,86,0.7596491228070176,100
