experiment,feature_set,model,fold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
logreg_l2_delta_only,delta_only,logreg_l2,6,0.6842105263157895,0.6625,0.6291666666666667,0.567672985616534,0.45454545454545453,0.35714285714285715,0.625,0.7,5,9,21,3
logreg_l2_delta_only,delta_only,logreg_l2,7,0.6578947368421053,0.6,0.6625000000000001,0.34101991758241756,0.38095238095238093,0.3076923076923077,0.5,0.7,4,9,21,4
logreg_l2_delta_only,delta_only,logreg_l2,8,0.7631578947368421,0.7298850574712643,0.6781609195402298,0.6606278793413296,0.5714285714285714,0.5,0.6666666666666666,0.7931034482758621,6,6,23,3
logreg_l2_delta_only,delta_only,logreg_l2,9,0.7105263157894737,0.5804597701149425,0.6053639846743295,0.3645419057690863,0.35294117647058826,0.375,0.3333333333333333,0.8275862068965517,3,5,24,6
logreg_l2_delta_only,delta_only,logreg_l2,10,0.5526315789473685,0.40038314176245215,0.37931034482758624,0.20622607825461506,0.10526315789473684,0.1,0.1111111111111111,0.6896551724137931,1,9,20,8
logreg_l2_delta_only,delta_only,logreg_l2,11,0.6052631578947368,0.475,0.42916666666666664,0.23620830708679005,0.21052631578947367,0.18181818181818182,0.25,0.7,2,9,21,6
logreg_l2_delta_only,delta_only,logreg_l2,12,0.7105263157894737,0.6333333333333333,0.6416666666666667,0.45085023447092415,0.42105263157894735,0.36363636363636365,0.5,0.7666666666666667,4,7,23,4
logreg_l2_delta_only,delta_only,logreg_l2,13,0.6842105263157895,0.6398467432950192,0.67816091954023,0.4930917484839054,0.45454545454545453,0.38461538461538464,0.5555555555555556,0.7241379310344828,5,8,21,4
logreg_l2_delta_only,delta_only,logreg_l2,14,0.6578947368421053,0.5459770114942528,0.6551724137931034,0.4448062463851938,0.3157894736842105,0.3,0.3333333333333333,0.7586206896551724,3,7,22,6
logreg_l2_delta_only,delta_only,logreg_l2,15,0.7105263157894737,0.6187739463601533,0.6551724137931034,0.5988018897819261,0.42105263157894735,0.4,0.4444444444444444,0.7931034482758621,4,6,23,5
logreg_l2_t0_t1,t0_t1,logreg_l2,1,0.9210526315789473,0.95,0.9875,0.9659090909090909,0.8421052631578947,0.7272727272727273,1.0,0.9,8,3,27,0
logreg_l2_t0_t1,t0_t1,logreg_l2,2,0.7894736842105263,0.8666666666666667,0.9666666666666668,0.9375,0.6666666666666666,0.5,1.0,0.7333333333333333,8,8,22,0
logreg_l2_t0_t1,t0_t1,logreg_l2,3,0.868421052631579,0.8371647509578544,0.9348659003831419,0.8721340388007055,0.7368421052631579,0.7,0.7777777777777778,0.896551724137931,7,3,26,2
logreg_l2_t0_t1,t0_t1,logreg_l2,4,0.9210526315789473,0.8716475095785441,0.8544061302681992,0.8495175848117027,0.8235294117647058,0.875,0.7777777777777778,0.9655172413793104,7,1,28,2
logreg_l2_t0_t1,t0_t1,logreg_l2,5,0.8421052631578947,0.8582375478927202,0.938697318007663,0.8616722783389452,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.8275862068965517,8,5,24,1
logreg_l2_t0_t1,t0_t1,logreg_l2,6,0.868421052631579,0.9166666666666667,1.0,1.0,0.7619047619047619,0.6153846153846154,1.0,0.8333333333333334,8,5,25,0
logreg_l2_t0_t1,t0_t1,logreg_l2,7,0.8947368421052632,0.9333333333333333,1.0,1.0,0.8,0.6666666666666666,1.0,0.8666666666666667,8,4,26,0
logreg_l2_t0_t1,t0_t1,logreg_l2,8,0.7631578947368421,0.7298850574712643,0.7624521072796936,0.6358747636525415,0.5714285714285714,0.5,0.6666666666666666,0.7931034482758621,6,6,23,3
logreg_l2_t0_t1,t0_t1,logreg_l2,9,0.8947368421052632,0.9310344827586207,0.9846743295019157,0.9535634118967453,0.8181818181818182,0.6923076923076923,1.0,0.8620689655172413,9,4,25,0
logreg_l2_t0_t1,t0_t1,logreg_l2,10,0.7631578947368421,0.7298850574712643,0.89272030651341,0.7688237688237689,0.5714285714285714,0.5,0.6666666666666666,0.7931034482758621,6,6,23,3
